Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		12255-09-3		creator	D												
Substance					Substance	Active	eService Production	creator		12255-36-6		creator	D												
Substance					Substance	Active	eService Production	creator		12255-39-9		creator	D												
Substance					Substance	Active	eService Production	creator		12255-48-0		creator	D												
Substance					Substance	Active	eService Production	creator		12255-50-4		creator	D												
Substance					Substance	Active	eService Production	creator		12255-53-7		creator	D												
Substance					Substance	Active	eService Production	creator		12256-04-1		creator	D												
Substance					Substance	Active	eService Production	creator		12259-56-2		creator	D												
Substance					Substance	Active	eService Production	creator		122-64-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		12266-38-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		12267-73-1		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		12268-07-4		creator	D												
Substance					Substance	Active	eService Production	creator		12268-84-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		12271-72-6		creator	D												
Substance					Substance	Active	eService Production	creator		12275-07-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		12292-07-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		12297-66-4		creator	D												
Substance					Substance	Active	eService Production	creator		122-99-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12305-84-9		creator	D												
Substance					Substance	Active	eService Production	creator		12323-05-6		creator	D												
Substance					Substance	Active	eService Production	creator		123-31-9		creator	D												
Substance					Substance	Active	eService Production	creator		12334-31-5		creator	D												
Substance					Substance	Active	eService Production	creator		12344-40-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		12344-68-2		creator	D												
Substance					Substance	Active	eService Production	creator		12372-45-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		123-75-1		creator	D												
Substance					Substance	Active	eService Production	creator		123-77-3		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		123-88-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12397-06-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		124-01-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12403-82-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12408-10-5		creator	P												
Substance					Substance	Active	eService Production	creator		124-08-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		12414-94-7		creator	D												
Substance					Substance	Active	eService Production	creator		12417-99-1		creator	D												
Substance					Substance	Active	eService Production	creator		12427-42-8		creator	D												
Substance					Substance	Active	eService Production	creator		12429-94-6		creator	D												
Substance					Substance	Active	eService Production	creator		12433-50-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		12435-47-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		124-40-3		creator	D												
Substance					Substance	Active	eService Production	creator		12442-27-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		124-48-1		creator	P												
